feature,n,mean,std,median,q10,q25,q75,q90
height_canonical,67,1.1415669130745218,0.08354700289137483,1.1571266651153564,0.9801689863204955,1.122753918170929,1.1989049017429352,1.2373142600059508
shoulder_width,67,0.21455258531356924,0.01804956554955574,0.2144435495138168,0.1897214859724044,0.20706274360418314,0.22639900445938105,0.23626214861869807
pelvis_width,67,0.07343682441026413,0.005290678973156971,0.0737770944833755,0.06748545318841931,0.07129490002989765,0.0756728127598762,0.07884456813335418
torso_height,67,0.3178200957490437,0.02096807663369928,0.319918692111969,0.2813762307167053,0.3114021420478821,0.33220845460891724,0.3407734572887421
upper_arm,67,0.17386355073149526,0.013393433231191118,0.1759887486696243,0.1509487211704254,0.17051920667290685,0.18149441108107567,0.1895663559436798
forearm,67,0.1631705456260425,0.013632507996636992,0.1654431894421577,0.13928860127925868,0.1576917730271816,0.17322679609060285,0.1778387263417244
arm_length,67,0.3370340963575377,0.026681709414226092,0.3423675298690796,0.2894270300865173,0.3275122530758381,0.3539093993604183,0.3681516110897064
thigh,67,0.23195399555252558,0.02267076249186098,0.2363923862576484,0.19193727970123287,0.2253038845956325,0.2463106475770473,0.26032266318798064
shank,67,0.25311395614894466,0.023296211787499722,0.2573291659355163,0.211976046860218,0.2472063191235065,0.26783304661512375,0.279942786693573
leg_length,67,0.48506795170147027,0.04590116067246731,0.4939770624041557,0.40342241972684856,0.47197302058339113,0.5135521478950977,0.5403106838464737
shoulder_width_ratio,67,0.18815335871254216,0.011619124699804768,0.1876092450305526,0.17243294186475125,0.18039725158551667,0.19690935244865643,0.2024151102738827
pelvis_width_ratio,67,0.06449047605394624,0.0043139022726006995,0.0642445651233431,0.05906989565560282,0.061536671161568954,0.0672744781952119,0.07007969171630926
torso_height_ratio,67,0.2786607092931692,0.0075421699994859285,0.2799169450575618,0.2687440439077233,0.2740986141660396,0.2830207536802813,0.28628717732238224
upper_arm_ratio,67,0.15229140499231866,0.0031061896158861907,0.1529533651443691,0.14840209040171812,0.149896218723675,0.15422600244186765,0.15572764309738382
forearm_ratio,67,0.1428431617613108,0.002922008008350172,0.1432200137301409,0.13939353328755308,0.1412389426800341,0.14487599054730066,0.14638060308687803
arm_length_ratio,67,0.29513456675362953,0.00466468157933835,0.2951489441075837,0.2898851650381546,0.2929940121096688,0.2980741783844768,0.30038727248634667
thigh_ratio,67,0.2028368943554394,0.00626406904371746,0.2030650594479282,0.1943505972525823,0.1994310982745955,0.2058629062025239,0.2103034528947978
shank_ratio,67,0.22143270699378645,0.0058082006942202,0.2215872131384044,0.2146552474731112,0.2185560174836426,0.22436491057070534,0.22746435010507512
leg_length_ratio,67,0.42426960134922587,0.011849227786255686,0.4247393735492636,0.4087630023116533,0.41804358891749005,0.4299750537344652,0.4376434830205058
