feature,n,mean,std,median,q10,q25,q75,q90
height_canonical,121,1.5087512943370283,0.07949279416925405,1.4964901804924011,1.4182863235473633,1.442979633808136,1.5677236914634705,1.621447503566742
shoulder_width,121,0.2708826177130061,0.021540107963871524,0.2660363912582397,0.2458428889513015,0.2547855675220489,0.2825356423854828,0.3061912357807159
pelvis_width,121,0.09566448019309474,0.007109306546966902,0.0963033363223075,0.0862347334623336,0.0900589227676391,0.1003885939717292,0.1037177518010139
torso_height,121,0.408355482599952,0.021158433427125506,0.4039154052734375,0.385030597448349,0.3917126059532165,0.420838713645935,0.4380680024623871
upper_arm,121,0.2314063654211927,0.0131918262631713,0.2315671816468238,0.2152089849114418,0.2212452366948127,0.2403357401490211,0.247675709426403
forearm,121,0.21852906091400415,0.012685967900740417,0.2152988389134407,0.2051031589508056,0.2080117836594581,0.2287990897893905,0.2374748885631561
arm_length,121,0.44993542633519684,0.025209805860399222,0.4476091787219047,0.4199172779917717,0.4282416999340057,0.4675170034170151,0.4852042868733406
thigh,121,0.3237412744317173,0.020317672290005435,0.3208174109458923,0.3006338328123092,0.3066743612289428,0.3394888192415237,0.3532048314809799
shank,121,0.3496618720371861,0.02141283605293164,0.3453767299652099,0.3254455029964447,0.3317539691925049,0.3660570979118347,0.3802107721567154
leg_length,121,0.6734031464689034,0.0416602430545179,0.6657849848270416,0.6267096698284149,0.6397145837545395,0.7078939229249954,0.7327147424221039
shoulder_width_ratio,121,0.17962101989545148,0.01185840227455198,0.1765198636875715,0.1650094199471539,0.1714154039721611,0.1908984381445145,0.1968925351331347
pelvis_width_ratio,121,0.06339547572423504,0.003156291221272638,0.0630180450633149,0.059507895758101,0.0614484666880698,0.0658655029002749,0.067788939815395
torso_height_ratio,121,0.27072319652863375,0.005474563898686224,0.270993019634284,0.2639325125910213,0.2669275018926835,0.2738226149216265,0.2761815256511314
upper_arm_ratio,121,0.1533609192711237,0.0026032999661915503,0.1539385187497368,0.1495726220596424,0.1516013411368087,0.1551997138231269,0.1561955798518982
forearm_ratio,121,0.14482896457207653,0.0029557704569594034,0.1441211749571208,0.1415623193443761,0.1428482293183872,0.1462799826515772,0.1486582061894081
arm_length_ratio,121,0.2981898838432003,0.004025970016956758,0.2980636240151026,0.2936108030479781,0.2956774845560145,0.3001267861252226,0.3021831778112568
thigh_ratio,121,0.21448551219393963,0.003629940545863155,0.2149991931405113,0.2094851893280404,0.2119767740976443,0.2167402396581605,0.2192730630864096
shank_ratio,121,0.2316712194969336,0.0034153357465437567,0.2318726172910309,0.2267912345647684,0.2294675879576625,0.2338704947697938,0.2357816291708702
leg_length_ratio,121,0.4461567316908732,0.006876552448627859,0.4471534517888832,0.4372727270823324,0.4418148212312341,0.4504008117039824,0.4539643010186396
