feature,n,mean,std,median,q10,q25,q75,q90
height_canonical,48,1.320108889291684,0.04359008157058154,1.3251703381538391,1.2615098476409914,1.2814463078975675,1.3524857014417648,1.3800502121448517
shoulder_width,48,0.2479021099085609,0.016783575911103202,0.2496472373604774,0.22613227218389506,0.2404944561421871,0.2573853060603142,0.2688703119754791
pelvis_width,48,0.08240047174816327,0.005448825790463587,0.0819137170910835,0.0764861285686493,0.07818013802170753,0.08495455048978327,0.08879086449742316
torso_height,48,0.3608289336164792,0.01599007124921235,0.3605595976114273,0.34130630791187283,0.3524397984147072,0.369896724820137,0.37933718264102934
upper_arm,48,0.20146214372167984,0.008521323968529147,0.20214050635695455,0.19035431370139122,0.19618357159197328,0.20821811258792877,0.2117146000266075
forearm,48,0.19219306809827683,0.007942179279583397,0.19336012750864023,0.18221193403005595,0.18579528108239168,0.19826046563684935,0.2010984808206558
arm_length,48,0.3936552118199567,0.015579319592453067,0.393794409930706,0.3737082384526729,0.381028413772583,0.4072288982570171,0.4122009471058845
thigh,48,0.2784805341313283,0.011531749573258422,0.2793736234307289,0.26582045108079905,0.27076447755098343,0.2867292053997516,0.2918694913387298
shank,48,0.3025821913033724,0.011941602795362367,0.305176205933094,0.2892378315329552,0.29561690986156464,0.31191045045852656,0.31601483225822447
leg_length,48,0.5810627254347006,0.023357392819276342,0.5856311917304993,0.555527138710022,0.5664240010082722,0.5987293310463428,0.6077227428555488
shoulder_width_ratio,48,0.18780397397814522,0.011473454686266172,0.1871866741063844,0.173607195477196,0.18004059125273622,0.19644668602957155,0.20134486386808242
pelvis_width_ratio,48,0.062432863982518676,0.00377249939426663,0.0616069710861613,0.058542418303797514,0.060300224451629025,0.06409029880682313,0.06890963945660507
torso_height_ratio,48,0.27331875712330583,0.007726668967468553,0.2729862189734333,0.2640198524429944,0.2692230674251246,0.27678688634966975,0.28324191018829487
upper_arm_ratio,48,0.15260611401253765,0.003906791606126431,0.1524401451768499,0.14740076530315194,0.14936543467314156,0.15586481589155998,0.1573747630082305
forearm_ratio,48,0.145580757074085,0.0033053045238138215,0.1455273737858415,0.1419116637307501,0.1429328501671128,0.14716093991237691,0.14861011104063382
arm_length_ratio,48,0.2981868710866227,0.005979761239760729,0.2976718763030364,0.2915669753345298,0.29416957155086476,0.30151624329710375,0.3058189275538135
thigh_ratio,48,0.21093924982554965,0.004773173008555234,0.21094225773071776,0.20520271112283525,0.20891018556635926,0.21319933892692056,0.21636188774763282
shank_ratio,48,0.22919708504130534,0.0044092853671006,0.22929558385123178,0.224511478840155,0.2273493879443149,0.23089294111107816,0.2350238205877688
leg_length_ratio,48,0.440136334866855,0.009030723401134928,0.4409795009877935,0.42913394535769805,0.4364353226513213,0.44447607238051984,0.45141724933891636
